userName,content,sentiment,at
Haikal Usman,"sedih bngt soalnya akun instagram yang second acc nggak bisa login udah 2 minggu lebih padahal saya udah masukin password yang benar tetapi selalu muncul tulisan ""terjadi kesalahan tak terduga mohon login kembali"" selalu gitu terus saya kesal,tolong lah pihak instagram fix kan lah masalah saya ini,saya sudah cari"" solusi malah ngga ke fix"",sudah segala cara saya coba tetap muncul tulisan seperti itu",negatif,2024-10-04 17:48:06
pan pan,"ig kenapa si? kok saya gabisa ngeliat sg orng' ya? malah ada tulisan 'cerita ini tidak tersedia' pas saya mau ngeliat sg orng', kenapa ini? bug kah? tolong perbaiki lagi 🙏🏻 seharusnya semakin di update semakin bagus, bukannya semakin di update malah semakin rusak. TOLONG DI PERBAIKI LAGI PIHAK IG.",negatif,2024-10-04 17:58:30
Ribka Sinaga,"Makin kesini makin kesana story orang kadang ga bisa dibuka, dan bilang nya ""cerita ini sudah dihapus"" padahal belum . Kolom komentar juga kadang error dan ga bisa di liat Musik di profil ga keliatan pas liat sendiri , tapi giliran orang lain bisa ngeliat .Ujung ujung nya ga bisa diganti. Kalo mau nge post draft igs yang udah diedit malah error dan kehapus sendiri ,dan terpaksa edit ulang. Tolong perbaiki🙏🙏",negatif,2024-10-04 18:11:45
Meieva Mei,"kenapa ya Instagram story selalu ada tulisan ""cerita tidak tersedia"" kalo cuma 1 atau 2 itu its oke lah, ini banyak bngt yg bikin story tpi klo di buka selalu muncul tulisan kya gitu. tolong diperbaiki lagi ya",netral,2024-10-04 18:55:48
Khairunisa,"kenapa tiba tiba fitur musik di profil/di bio hilang di akun saya? di akun kedua saya masih ada namun, di akun yang pertama udah ilang fiturnya. Mohon di percepat perbaikan nya, terimakasih atas perhatiannya🙏",positif,2024-10-04 19:22:27
afrizal rhamdani,"ada bug dibagian story, setiap mau lihat story temen selalu ""catatan ini tidak tersedia"" padahal story baru upload, dan story yang sudah di lihat sebelumnya malah kayak story baru upload, giliran di klik emang story sebelumnya, sudah saya coba perbaiki pake segala uninstall terus install ulang tetap saja ""catatan ini tidak tersedia"" apaan coba?? rusak ini aplikasi",negatif,2024-10-04 19:33:20
kezia ramadhania,"Pliesss lahhh fitur arsip jangan di ilangin, and ig lagi kenapa dah??? Kok gbisa lihat SG orang dari tadi siang tiba"". Pdhl udh di uninstall, di update, sampe di non aktifkan juga masih begitu juga🥺🥺",netral,2024-10-04 19:43:56
annisasal sabila,"Kalau mau nambah fitur nggak papa tapi asal kn fitur arship an nya jangan dihilanginn,soalnya di situ ada kenangan yg nggk mungkin bisa di ulang,fitur repost nya di perbaiki jujur saya agak kecewa tapi nggak papa semangat yg terbaik lah buat para pekerja Instagram",positif,2024-10-04 19:49:37
Ilalang Setiawan,"Tolong jangan hapus fitur arsip, saya punya banyak kenangan foto/video disana. Jika ingin dihapus, maka berikan opsi download semua arsip dalam bentuk ZIP/RAR agar bisa dicadangkan.",netral,2024-10-04 19:58:51
Surya Pratiwi,Aplikasi nya bagus banget tapi kenapa yaa setiap ada yang buat story baru tu selalu gak bisa di liat yaa (cerita ini tidak tersedia) tolong di bantu dongg,positif,2024-10-04 20:05:50
Wilda Marcellina,"proses penyimpanan vidio / foto sangat lama dan tidak bisa tersimpan,,tolong di perbaiki ya ag nya/cerita karna nge bug ga bisa ngeliat story org",netral,2024-10-04 20:09:53
Wildatul Jannah,Kenapa story ig tidak dapat dilihat sedangkan story nya baru di naikin di story. Dan satu hal lagi aku telah mengupdate ig tpi kenapa fungsinya error,negatif,2024-10-04 20:12:58
Muhammad Bagir,"tolong perbaiki lagi bug nya lah, masa eror terus tiap liat story, bacaannya ""cerita ini tidak tersedia"" semua orang sg nya kaya gitu, tolong perbaiki lagi lah min",negatif,2024-10-04 20:31:37
Tika Ponsel,Tolong ini gimana yah kok Instagram nya nggak bisa liat sg orang yang baru bisa nya cmn yg di buat kmren² doang sama postingan juga nggak ada postingan yang baru ada nya cuman yang kmren² doang tolong di perbaiki lagi Instagram nya🙏🏻,negatif,2024-10-04 20:43:00
Intana Candra Luvita,"Kenapa ya, akhir-akhir ini tuh kalau mau liat stories suka lag sendiri layarnya jadi item kadang malah muncul tulisan ""cerita ini tidak tersedia"". Padahal jaringan lancar-lancar aja kok. Buat nonton reals juga bisa. Awalnya kukira emang sinyal yang jelek, tapi sampai sekarang sering banget bug nya. Dan tolong jangan hapus fitur archive story, itu fitur penting banget bisa buat nyimpen kenangan.",negatif,2024-10-04 20:53:13
Rasya Alika,"knp ya sekarang semenjak sudah update jadi bug truss,,saya jadi gak bisa liat status Ig orng orng,,cerita ini tidak tersedia Mulu bacaan nya tolong perbaiki lagii dong minnnnnn",negatif,2024-10-04 21:05:50
Purnama Ningsih,Apknya sangat bagus!! Tapi saya hanya berpesan ini saja. Tolong dongg banyak orang tertipu karna penjualan di ig. Tolong lebih relafan lagi jika akun tersebut beneran berjualan atau penipuan.! Kasian yang jualan lewat ig jadinya ga laku karna banyak yang menipu lewat akun ig.,netral,2024-10-04 21:35:21
Addini Nur fadilah,"Instagram lu mending balikin fitur lagu yg ada di profile deh,benci banget gw kalo udah bela belain update eh malah tambah ngajelas aja fiturnya,ada yg hilang kek,keganti lah dll,kembaliin kayak dulu lagi deh benci bgt gw,perbaiki eror mu dong,mls gw,eror mulu anj",negatif,2024-10-04 21:36:25
zaskya,"kenapa ya ig sering kali error/ bug, mau liat story orang misalnya, pas dipencet malah ada tulisan cerita tidak tersedia, ya gpp kalau 1 atau 2 story, tapi ini hampir semua story kayak gitu, kalau ga misal kita udah liat storynya, tapi pas di refresh muncul lagi, seakan-akan kita belum liat story itu padahal udah, jadinya habis di refresh keulang lagi², dan kemungkinan ga cuma aku yang ngalamin, beberapa temen aku juga gitu :) kan jadinya malas buat buka ig kalau gini...",netral,2024-10-04 21:40:42
Anisa Fitriani,"padahal aku blom update samsek, kenapa makin error ya? kek story yang lain pada tidak tersedia kayak udah kehapus gitu, itupun semua story please lah tolong perbaiki lagi🙏🏻",negatif,2024-10-04 21:52:45
Muhammad Qadlizaka,"Ini sistem lagi kenapa , tiap buka instagram notifikasi saya banyak tapi waktu di buka ngk ada dan reels yang saya kirim juga terhapus , tolong di perbaiki secepatnya !!!",negatif,2024-10-04 22:18:44
Gabriela Kiran,"Di akun utama gak ada fitur terbaru, di akun lainnya baru ada fitur terbaru. Kadang akun lain itu selalu ke fitur lama, lalu setiap mau nonton reels selalu patah. Mau posting foto di postingan, yang awalnya landscape malah jadi kotak setengah. Jadinya ngulang, tapi tetap sama terus menerusss👹👹💔 WOI KAPAN UPDATE NYET? INI DI AKUN FIRST, MAU LIHAT SG ORANG MALAH GAK TERSEDIA. GILIRAN DI AKUN SECC, BARU KELIHATAN APA ISI SG NYA SAT‼️",negatif,2024-10-04 22:19:50
Khaerul,"Ini ig kenapa kayak bermasalah yaa, saya ga bisa liat postingan² terbaru, ada juga beberapa postingan atau story yang sudah saya lihat, tiba² hilang padahal tidak dihapus sama yang punyaa, apakah ig saya dibajak, atau gimana? Mohon diperhatikan😭😭",negatif,2024-10-04 23:33:41
Syahrizal Mahesa,"Kalo mau buka filter Ig suka bug teruss gabisa ngedit foto yg ada d galeri , selalu muncul foto"" yg langsung d IG nya maap kasih bintang 1 soalnya udah d update juga tetep kaya gitu , mungkin ada pengaturan nya tapi udh d cari"" masih ga ketemu 🙏",negatif,2024-10-04 23:43:00
Bang Jibon,"Tolonglah Instagram,, hilangkan spam iklan judol,, saya gak pernah ikut judol,, tiba tiba banyak spam judol,, tolonglah, ini sangat tidak nyaman setiap buka story, terima kasih",negatif,2024-10-04 23:50:25
Nazw _a*24.,akun saya gabisa login!! awalnya kena suspend gajelas dab itupun semua akun saya dan saya gabisa bikin Instagram baru lalu saya daftar lewat web baru bisa tpi lemit puoll dan saya login pake hp mamah saya bisa tolong dong gimana inii udh di chat di gmail ga dibales!!,negatif,2024-10-05 00:30:58
Dhita Azzahra,"Saya kasih bintang 1 karena tidak bisa menggunakan Instagram ini.,. ketika mau memposting foto selalu keluar dan harus log out dari akun pribadi saya,.,. dan harus mengajukan banding,,.akan tetapi sya sdh melakukan nya tetap saja tidak bisa dan harus menunggu waktu yang lama.,, saya minta tolong di perbaiki lagi",negatif,2024-10-05 10:40:23
Wulan,"makin gaje Instagram, mo nambahin audio di story dan postingan ga ada. ngesave audio ga ada fiturnya hadehhhhhhhhhh",negatif,2024-10-05 14:27:50
Shintya Novita Sari,"Postingan foto di feeds ada lagunya, tiba-tiba hilang sendiri. Padahal adanya lagu untuk mendukung suasana foto postingan. Selanjutnya tag foto pengguna jadi tersembunyi, tidak sekali klik langsung muncul seperti dulu. Satu lagi, jangan hapus fitur arsip video karena itu kenangan berharga semua. Terlalu banyak iklan yang bersliweran di beranda juga bikin kesal. Mohon segera diperbaiki.",negatif,2024-10-05 21:32:53
Hafizah Ajha,"akun nya tiba' hilang dan di benerin gk bisa pdhl di akun yng hilang itu bnyk sekali foto' dan tugas' sya, semua sandi, nama pengguna, nomor tlp, e-mail semua sudah benar tetapi akun nya tetap saja tidak bisa untuk di login kan kembali",negatif,2024-10-05 22:02:07
Pelly Pew,"sering terjadi banyak bug, seperti tak bisa memfollow dgn notif 'permintaan anda tertunda' dan juga sering kali ada bug di bagian story, jika melihat story teman akan di perlihatkan notif 'catatan tidak tersedia' . kadang juga tak bisa memberi like banyak pada 1 akun tertentu. saya sering kali kewalahan untuk bolak-balik memberi like tetapi malah ke riset sendiri. sudah banyak yang bilang instagram sedang eror, saya harap bug bisa di perbaiki lagi agar tidak mengganggu pengguna 🙏",negatif,2024-10-06 04:30:57
Fikrii Dwi Pranata,"Fitur feedback di Instragram sangat tidak berguna, sudah berkali-kali saya melakukan feedback dikarena ada fitur yang ilang di salah satu akun, tetapi dari pihak Instagram tidak melakukan apa pun hingga saat ini. Saya sudah melakukan feedback yang sangat lama namun tidak ada yang berubah sampai saat ini. Mohon cepat diselesaikan masalah ini",negatif,2024-10-06 06:31:30
Zihan Syahira,"ini kenapa nge bug mulu dah, kok makin di update makin nge bug? apk ig sy jdi gak ad fitur sorotan nya, itu kenapa yaa?!!! tolongg perbaiki dong minnn!!!!",negatif,2024-10-06 07:07:12
Deva Mahendra,"gatau kenapa ig storyku ga update di timeline mutual aku, tapi pas disearch baru ada. why? ini kenapa cuy, mana viewersnya jadi dikit banget, update aplikasi lancar tapi malah seperti ini. tolong lah diperbaiki secepatnya plis.",negatif,2024-10-06 07:30:32
Ridho Basutod,"Terlalu banyak iklan di reels nya, setiap 2-4 vidio pasti muncul iklan nya, dulu jarang ada iklan padahal kok sekarang banyak banget, kecewa sama kelakuan kapitalis lu",negatif,2024-10-06 10:54:19
Itzwo,"Apaan nih, tiba2 autentikasi aktif. Password berubah sendiri. Mau loggin malah ga bisa. Udah req buat di konfirm temen. Malah ga nongol notif di akun yg di tuju.",negatif,2024-10-06 11:33:46
Mak Nyami,"Sebelumnya dulu Instagram saya gak seperti ini,dulu enak dipakai sekarang kok setiap lihat vidio reel itu gak bisa dibuat lihat sw Instagram juga gak bisa tp kalau dibuat cari akun temen itu bisa kenapa y",negatif,2024-10-06 12:58:37
Raraawaw,"Overall app best sih, mulai dari reels, acc, pesan, beranda, filter, semua nya best job. Oh ya ada beberapa yg aku pengenin/saranin dalam app ini, yaitu arsip chat atau kunci chat kayak app sebelah, jadi lebih priv gtu, lebih aman. Selebihnya oke, mungkin dari beberapa bug , kayak lihat stories ga bisa, ya mungkin hp lo yg lemot jdinya nge bug gajelas, bersihin dulu noh cache lo. And at least best job dev semoga lebih di kedepankan lagii ❤️💌",positif,2024-10-06 17:21:38
DeniFarid,Tidak dapat mengganti musik yang sudah di sematkan di profil. Tidak dapat melihat atau mengganti musik yang ada di profil sendiri. Pengaturannya juga menghilang. Padahal lagu yang saya tambahkan bisa dilihat oleh follower namun tidak dengan diri sendiri.,negatif,2024-10-07 00:43:33
Tempe anakherex,"Kenapa kalo mau ubah sandi udah di link Gmail tapi loading nya lama bgt di tunggu udah mau 2 jam masih tetep loading dan gak cuman aku yang merasakan hal ini orang orang lain juga,tolong pihak Instagram tolong masalah ini di perbaiki secepat mungkin🙏🏻🙏🏻",negatif,2024-10-07 02:03:14
Kak saribi,"Audio tidak tersedia kenapa yaa, padahal udah cape² posting dan ketika sudah diposting audionya masih ada tpi lama kelamaan kok audionya menghilang yaa(audio tidak tersedia) TOLONG SOLUSINYA DAN DIPERBAIKI",negatif,2024-10-07 06:46:48
Taniaza Hra,"DEAR INSTAGRAM, padahal kita cuman mengubah nama-nama yg sama. Lalu mengapa frekuensi yg tertera di ""tentang akun ini"" terhitung begitu banyak? Seakan-akan kita seperti orang yg berkarakter plin-plan & tidak berkomitmen.. mohon kebijakannya.",positif,2024-10-07 09:26:31
rizky adittama,aplikasinya sudah bagus fiturnya juga oke tapi ad sedikit bug setiap mau ngirim video atau ngechat lewat ig jadi mohon diperbaiki untuk developer nya,positif,2024-10-07 14:37:17
Srinah Dewi,ada bug di bagian draf masa saya tadi simpan foto2 di dalam draf belum ada 7 hari udah kehapus kan ga masuk akal tolong dong diperbaiki bug nya kalo aplikasi nya seperti ini orang jadi males mau pake aplikasi ini aku kemarin² make aplikasi ini nggak ada kendala kok sekarang banyak kendalanya yang story ga bisa dilihat padahal baru di upload lah ini yang draf bisa hilang sendiri padahal belum 7hari,negatif,2024-10-07 16:17:11
Sofia Murida,"Hari ini instagram ku seharian gak ada muncul story instagram di beranda, udah di refresh terus, tetap gak ada hasil, tapi kalau lihat akun orang ada story nya, tapi di beranda sama sekali tidak muncul story followers, tolong dijawab admin, saya sudah coba laporkan masalah di instagram, belum di respon sampai sekarang Terimakasih",positif,2024-10-07 18:09:52
Muhammad Shaquel Bachdar,"untuk sementara aku kasih bintang 3 yah, kecewa banget biasanya setiap mau bagikan ke fb langsung bisalah setelah update an terbaru malah ngk bisa kek nge bug gitu ngk tau dah kenapa pusing sumpah udah gua utam atik sana sini malah tetap ngk bisa",positif,2024-10-07 18:42:22
Intan Mbak,"Instagram ini memang bagus namun ada beberapa hal yg membuat sya sedikit kecewa😞... (1) bug/keluar² sendiri,saat saya ingin masuk di instagram ini, Tiba-tiba keluar sendiri, lalu saya masuk lagi malahhan ngebug. Dan saya saat ingin menganti nama instagram saya warnanya hitam dan saya saat mengetik, jadi tidak kelihatan. Dan saya saat ingin mengikuti orang lain, kok tiba2 tdk bisa ya/membatasi.Sudah sih itu saja tapi mohon untuk di perbaiki lagi🙏^^",positif,2024-10-07 20:36:30
Shidqi Ryza Nugraha,"Pada versi sebelumnya, saya bisa share reels dengan tampilan terbaru yg utuh, tetapi pada versi terbaru menjadi tidak bisa & kembali ke tampilan lama. Sayang sekali, padahal saya lebuh menyukai tampilan terbaru.",netral,2024-10-07 20:44:34
Arum Noviana Ramadhan,"Instagram makin bagus fitur fitur nya ya saya sangat suka apalagi bisa berkomentar di stories dan pengikut dari akun tersebut bisa melihat komennya, pliss tolong instagram ayo buat fitur dong kayak whatsapp biar akun-akun yang melihat stories kita ada jam nya kapan atau seperti beberapa menit yang lalu begitu biar kita tau akun tersebut melihat stories kita pada jam berapa🙏🏻🙏🏻☺",positif,2024-10-07 20:46:49
Sylla SusiLawaty,Kenapa tidak bisa masukan kata sandi padahal kata sandi sudah sesuai dan di verifikasi berharap bisa pake kode email karna no kartu sudah ga aktif tolong di bantu saya butuh Instagram ituu sudah ke 2 x nya begini saya selalu kehilangan Instagram kesayangan teruss,negatif,2024-10-08 04:03:54
Vevy Ardiyanti,"kek manaa inii skrg bugnya banyak bangettt, restore story tapi yg ke restrore bukan story yg w mau malah story yg lain.. follower/following tiap hari nurun abistu besoknya balik lagi.. tlg dong dibenerin lagi bugnya, aplikasi anda ini populer loh berguna buat semua khalayak.. thankyou",negatif,2024-10-08 06:26:36
Alpukat Fit,Ini gimana sih !!!? Masa akun aku di nonaktifkan secara sepihak doang?! Padahal selama ini ga pernah melanggar peraturan apapun. Udah pake beberapa cara apapun tetep tidak bisa masuk. Jelas2 email dan nomor hp ku yang lagi aku pake tp tetep gak bisa masuk. Asli sebel banget !!!!!!!,negatif,2024-10-08 07:02:55
Muhamad Muhlidin,"Bisa² nya saya ga bisa masuk ke instagram, udah beberapa akun tetap aja ga bisa masuk, instagram nya napeh bisa gitu sih, ini instagram nya yang bermasalah apa hape ane nya sih",negatif,2024-10-08 08:58:41
yuyu ree,"Baru aja diupdate tapi kenapa malah nge bug. Postingan foto/video hanya bisa dibuka sampai slide ke-2 aja, slide berikutnya hanya layar hitam",netral,2024-10-08 09:41:40
djeni astuti,Tolong kembalikan ke fitur sebelum update dong...dimana saat upload foto di story Instagram langsung bisa mengkolase(menggabungkan foto) secara otomatis ada pilihan tata letak atau mau 1 frame....ini setelah diupdate malah tidak bisa otomatis untuk kolase foto di story...harus manual satu satu ...ini merepotkan 🙏🙏🙏🙏mohon kembalikan fitur seperti sebelum update,positif,2024-10-08 11:58:21
Shandy Rizqi,"Aplikasi sosial media paling SAMPAH, mendingan gua nyari informasi di tiktok daripada di instagram. ALGORITMANYA GAK JELAS. Fyp reels gua isinya jadi konten-konten aneh dan sepi, padahal tadinya konten yang banyak views dan likenya. Udah pilih ""tidak tertarik"" masih aja muncul konten-konten yang sepi. LU URUS TUH BUG ALGORITMANYA! SOSMED SAMPAH!",negatif,2024-10-08 19:25:33
Indy Putri irawan,"Instagram kenapa sih notifikasi ga pernah tepat waktu?? Padahal udah diatur supaya semua notifnya aktif,kalau telat 1 atau 2 menit sih wajar tapi ini sampai ½ jam,bahkan sampai ga dapat notif mending tingkatkan instagram daripada menambah aplikasi threads,karna menurut saya orang-orang jarang menggunakan threads",negatif,2024-10-08 20:22:18
Doxs. Art,Tolong user interface waktu melakukan video call jangan di ubah..biarkan tampilan seperti biasanya (halfscreen) jangan di bikin mirip kayak di WhatsApp ( sangatt jelekk sekaliii saya tidak sukaaa),negatif,2024-10-08 20:47:09
Fox Sins,"Apansih sekarang sering mengalami masalah apload sering stuck di 90% padahal jaringan saya lancar banget, gak kayak biasanya cepat, tolong perbaiki🙏",positif,2024-10-08 22:01:30
Ziazia Lali,Enggak jelas udah 1 tahun gini gini aja Instagram ini akunya saya bolak balik di nonaktifkan buat lagi di nonaktifkan.. enggak jelas banget ya Instagram ini mending tutup aja udah kalau gini terus!!! Kesal saya lihatnya,negatif,2024-10-08 23:29:15
Hani 66,"bagian fitur arsipkan yang biasanya di titik 3 i story gaada, harap lebih diperhatikan soalnya saya mau bikin highlight tanpa spam story.",negatif,2024-10-09 16:57:33
febry tri pamungkas,"Saya sudah melakukan pelaporan di pusat bantuan, sejak kemarin saya sudah membayar postingan untuk diiklankan dan saldo saya sudah berkurang tetapi sampai sekarang tidak ada respon/tanggapan dari Instagram.. Bagaimana bisa seperti ini? 🥲",netral,2024-10-09 17:24:52
Mardian Saputra,"Ini sehari berapa kali update ya ? Yg di update apa si ? Kayanya ga nambah bagus ga ada perubahan juga malah makin mundur, juga tambahkan pengaturan pengiriman story jdi kalo ada video yg durasinya lebih dari 1 menit kita bisa atur mau di menit keberapa yang dikirim.",negatif,2024-10-09 18:21:30
Arya Akram,ini kenapa ya Instagram saya mau mengambil Selfi karena akun saya Ter autentikasi 2 faktor dan saat saya mau mengambil Selfi malah di suruh keluar dari Instagram ini bug atau apa?,negatif,2024-10-09 18:55:47
Sri Mahayanti,"Kacau deh kirain stlh kmrn di update bakal lebih bagus lg, eh malah muncul bbrp yg hrs diklik tp ujung""nya mlh gk bisa didownload, hilang tautannya juga, musik juga hilang...maaf aku uninstal lagi",negatif,2024-10-09 19:38:20
Xiaomi Ind,"Sound musik di catatan & story ga tersedia lagi secara tb², bertuliskan ""Lagu yang Anda pilih mungkin tidak tersedia di semua negara"". Tolong pihak instagram bagaimana caranya biar bisa balik lagi sound musik nya",negatif,2024-10-09 21:17:46
Deni 113,"Jaringan bagus, tapi upload story ig hampir satu jam stuck di 90%, di coba hapus dan upload ulang tetap sama, di batas 90%, siklusnya gitu terus.",negatif,2024-10-10 01:04:42
Nikky Bie,"Akun ditangguhkan lagi padahal bulan kemarin udah ditangguhkan juga tapi berhasil banding dan ke buka lagi , sekarang dapat notifnya karena masalah integritas akun. Tiap ditangguhkan karena masalah integritas akun terus, ini sebenarnya kenapa sih?",negatif,2024-10-10 07:33:22
Arum Ningtiasih,Tidak muncul notifikasi. Fitur catatan di DM tidak muncul. Tiap refresh selalu ada notif tidak ada jaringan padahal jaringan aman.,negatif,2024-10-10 07:40:50
Billy Darmawan Lie,"Scrool dr atas kebawah atau sebaliknya tidak seperti biasanya,,ini terjadi setelah update yg terbaru Melihat foto slide ke 2 dan selanjutnya pun sulit Saya uda cek di aplikasi lain tidaj seperti ini,krna awalnya saya kira hp saya yg bermaslah Mohon diperbaiki",negatif,2024-10-10 09:16:03
Fahmi Rizky,"bug di bagian profil musik, fitur tambahkan musik menghilang jadi saya tidak bisa menghapus musik yang sudah saya taro di bio profil, sedangkan di akun lain fitunya masih ada tetapi di akun pribadi saya fiturnya tidak ada",negatif,2024-10-10 09:39:13
Narita Meisya,"Enak di pakai, aplikasi nya juga menarik, dan bisa di pakai kapan saja, contohnya buat saya up video / foto, dan saya bisa foto menggunakan filter² di ig, i love ig 🫶🏻",positif,2024-10-10 11:15:34
hasanah unmul,"Saya punya masalah saat ganti thumbnail reel, tdk bisa pilih di frame dan jika pilih dri roll kamera hanya berfungsi sekali.",positif,2024-10-10 15:27:40
Ginger HaHan,"setelah di update malah susah jaringan. padahal download film lancar. putar youtube gk masalah, fb gak maslaah. kok cmn ig yg kayak susah jaringan!!",negatif,2024-10-10 16:51:23
Fiqih Maulana,"Sering bug, buka aplikasi sendiri, padahal lagi buka aplikasi lain tiba² buka sendiri. Sering refresh sendiri juga. Perbaiki lagi bug nya",negatif,2024-10-10 20:38:54
Faeyza Hidayat,Salah satu media sosial yang sangat bagus.Fitur-fitur yang disediakan oleh Instagram sangat simple dan mudah dimengerti serta dapat menjangkau orang lebih banyak,positif,2024-10-10 20:57:55
cintakairaa 777,"saya tidak bisa fto ketika mau foto cuman hitam aja dan kalo mau posting story gambar nya jadi blur,sudah melaporkan ke pihak Ig malah tidak ada jawaban tolong Ig banyak sekali bug saya bingung mau foto pake efek malah ga bisa tolong diperbaiki bug ini,ini sangat menyusahkan oranggg",negatif,2024-10-10 21:26:31
salon cece,"Banyak bget masalah nya di Instagram ini update story aja susah banyak ini itu nya .. padahal Instagram gak pernah di apa""in . sinyal kuat jg update status GK bisa hapus cache sama ..apa sih aplikasi bgni amat..dah 3 hri upload story GK kekirim trus.. update story di Instagram banyak banget yang gagal terkirim.arsip jg banyak yg kehapus smkin buruk aja .playann nya .GK kayak apk"" yg lain",negatif,2024-10-10 22:05:59
Nabila Asy'ariya,Duh nyebelin banget sih 😡💔💔😭😭😭😫😫😫😫😫 igsaya pas ingin menerima pertemanan malah di tunda permintaanya tidak seperti ig2 yg dulu tak pernah di tunda permintaanya... kesel gonta2 ganti akun ig ...terus!!! Tolong dong untuk aplikasi ignya di perbaiki lagi.. Biar tidak kayak gini terus....saya udah bosan ganti2 akun ig terus... saya sudah tidak suka ig saya sprt ini terus ..,netral,2024-10-11 07:38:17
Scout T,"(izinkan menambahkan media) tolong di perbaiki lagi, masa udah di nonaktifkan fiturnya ga ilang ilang woy, balikin ga seperti semula 👊👊👊👊👊👊",negatif,2024-10-11 08:49:52
Nadia Afrilia,"Heh Instagram lu ya kenapa ketika gw nyari audio nya Karina yg up kok gaada sih sedangkan lagu solo nya member lain muncul yg ga muncul cuma si Karina doang😭 Plis lah ini di dua Ig gw sendiri loh kok gaada sih, dari awal gw dah nunggu lagu nya si Karina keluar eh si Instagram malah bikin kesel, di gw gaada tapi orang lain nyari kok ada, lu ada masalah apa sm gw Instagram?? Plis perbaiki klo bug bug macam apa ini?",negatif,2024-10-11 15:49:06
Rendy Ardianto,Tiba2 terlogout dan tidak bisa login lagi. Padahal password dan username sudah benar. Tp anehnya di instagram lite bisa login tanpa masalah,negatif,2024-10-11 16:27:53
Ahmad Muhammad syukur,"Saya kalau mau buat story Ig kenapa fotonya acak, dan tidak sesuai tanggal yang ada di galeri padahal pengaturan nya sudah di setel tapi kok tetap gak bisa. Tolong diperbaiki",negatif,2024-10-11 17:03:44
Shyella Lolowang,Kenapa akun saya tiba-tiba ditangguhkan ya?? Tanpa alasan yg jelas pdhl tidak melakukan pelanggaran loh terus loadingnya lama bngt udh kirim foto selfie untuk banding tp masih blm pulih klr kirim selfie juga layar langsung blank berubah jd hitam?? Udh sempet masuk habis itu muncul lagi notif buat kirim banding emangnya sekali kirim harus brp kali?? What happened to Instagram?? Sering-seringlah kek gini deh....,negatif,2024-10-11 18:24:57
Rifdah Dzakirah,"Thiss app is really cool!! But, makin kesini kok jadi sering update ga penting dan ngurangin fitur adalan, tp overall udah keren dan jadi andalan sejaak duluu 💖💖💖",positif,2024-10-11 19:52:11
Yon DoSa,"Kenapa instagram sekarang gak enak digunakan, dikit-dikit hapus komentar, kalau admin nya baperan, ganti aja namanya menjadi bapergram jangan instagram, karena gak cocok, ya!",negatif,2024-10-11 22:13:17
Game Account,"Aplikasinya makin lama makin buruk penuh bug, saya upload video sampe 3 jam gak selesai selesai padahal sinyal lancar, trus video yang seharusnya 6 menit kenapa malah jadi 13 menit. Tolong jika di update beneran dibenerin bug nya",negatif,2024-10-12 00:36:09
Nhuning 24,Sering update instagram tp hasilny jelek trus klau buka aplikasinya. Kadang gak bisa buka. Heran aku sama ni aplikasi. Makin ke update makin gak jelas aja aplikasiny,negatif,2024-10-12 04:14:41
Fattan,"Bnyk bug nya, contoh pas dlm mode Gelap.. itu sering kali nge bug, smuanya mlah kek eror gitu trus jg tulisannya dll.. jg kg kliatan, APLI KEBNYKN BUG NYA Fitur unduh di ig ga berguna, percuma klo ngunduh tanpa audio/suara...dan fitur unduh ini jarang tersedia di video, JELEK JELEK JELEK",negatif,2024-10-12 10:05:05
Pengguna Google,"Cuma 1 sih kekurangan yang sangat menggangu sih buat gua, iklan lewat pas kita liat SG, ya gua tau kalau itu salah satu pemasukan buat meta, tapi kalau bisa kurangin dikitlah, selebihnya dah cukup sih",positif,2024-10-12 13:30:21
Pandiangan Benedit,Aplikasi Instagram ini sangat mudah penggunaanya dan praktis. Fitur2nya cangih canggih. Saya menggunakan hanya sekedar menunggu benar2 tau bagaimana menghasilkan heveng di sini... 😁😁🤣🤣👍👍👍🏅🏅🏅🏆🏆🏆.,positif,2024-10-12 13:59:28
Khaliel Khanz,Di update makin buruk dan makin gak respect sama Instagram padahal dulu video call tampilan layarnya ok ok ajah. Lah sekarang malah besar kecil kayak WhatsApp. Tolong kembalikan tampilan video call dari tampilan awal. Yang atas bawah jangan besar kecil. Gak enak saja tampilan kayak gitu. Tolong saya costumer harus di layani tolong tanggepin pengajuan saya. Terimakasih,negatif,2024-10-12 14:07:21
Shandika Dika,"Setelah update makin byk bug, story yg diarsipkan tidak muncul ketika saya melihat di pengaturan arsip cerita, story Ig saya hilang begitu saja bak ditelan bumi.",negatif,2024-10-12 14:32:48
Aroel syahrul,Begitu buruk aplikasi setelah di up date kenapa yg muncul di beranda saya semuanya konten masakan/ makanan setiap hari selalu muncul sedangkan yg saya suka tidak pernah ada muncul di beranda.trims.,negatif,2024-10-12 14:57:30
Bie Sabiand,"banyak sekali bug sekarang, seperti status yg sudah dilihat tapi lingkarannya masih menyala, terus untuk konten berlangganan susah sekali masuknya, harusnya setelah pembayaran berhasil langsung mudah untuk masuk broadcastnya artis/selebgram yang kita ikuti",negatif,2024-10-12 15:26:48
ruri,"Akun gw ada beberapa tp tiap akun tuh ada yg telat update nya gitu lah, di satu akun ada fitur baru tp di akun lain gaada, itu kenapa sih benerin TOLONG.",netral,2024-10-12 23:56:25
